Opcode Coverage Matrix
======================

Opcode                           1.05  2.03  2.06  2.07  3.00  3.01  3.05  3.06  3.07  3.08  3.09  3.10  3.11  3.12  3.13  3.14  
SLICE_1                           ✓    ✓    ✓    ✓    -    -    -    -    -    -    -    -    -    -    -    -   
SLICE_2                           ✓    ✓    ✓    ✓    -    -    -    -    -    -    -    -    -    -    -    -   
SLICE_3                           ✓    ✓    ✓    ✓    -    -    -    -    -    -    -    -    -    -    -    -   
STORE_SLICE_0                     ✓    ✓    ✓    ✓    -    -    -    -    -    -    -    -    -    -    -    -   
STORE_SLICE_1                     ✓    ✓    ✓    ✓    -    -    -    -    -    -    -    -    -    -    -    -   
STORE_SLICE_2                     ✓    ✓    ✓    ✓    -    -    -    -    -    -    -    -    -    -    -    -   
STORE_SLICE_3                     ✓    ✓    ✓    ✓    -    -    -    -    -    -    -    -    -    -    -    -   
DELETE_SLICE_0                    ✓    ✓    ✓    ✓    -    -    -    -    -    -    -    -    -    -    -    -   
DELETE_SLICE_1                    ✓    ✓    ✓    ✓    -    -    -    -    -    -    -    -    -    -    -    -   
DELETE_SLICE_2                    ✓    ✓    ✓    ✓    -    -    -    -    -    -    -    -    -    -    -    -   
DELETE_SLICE_3                    ✓    ✓    ✓    ✓    -    -    -    -    -    -    -    -    -    -    -    -   
STORE_MAP                         -    -    ✓    ✓    ✓    ✓    ✓    -    -    -    -    -    -    -    -    -   
PRINT_ITEM                        ✓    ✓    ✓    ✓    -    -    -    -    -    -    -    -    -    -    -    -   
PRINT_NEWLINE                     ✓    ✓    ✓    ✓    -    -    -    -    -    -    -    -    -    -    -    -   
PRINT_ITEM_TO                     ✓    ✓    ✓    ✓    -    -    -    -    -    -    -    -    -    -    -    -   
PRINT_NEWLINE_TO                  ✓    ✓    ✓    ✓    -    -    -    -    -    -    -    -    -    -    -    -   
BREAK_LOOP                        ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -    -    -    -    -   
WITH_CLEANUP                      -    -    ✓    ✓    ✓    ✓    ✓    -    -    -    -    -    -    -    -    -   
WITH_CLEANUP_START                -    -    -    -    -    -    -    ✓    ✓    ✓    -    -    -    -    -    -   
WITH_CLEANUP_FINISH               -    -    -    -    -    -    -    ✓    ✓    ✓    -    -    -    -    -    -   
IMPORT_STAR                       ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -    -   
EXEC_STMT                         ✓    ✓    ✓    ✓    -    -    -    -    -    -    -    -    -    -    -    -   
POP_BLOCK                         ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -    -   
END_FINALLY                       ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -    -    -    -   
